LOP(亮度)	x	y
59	8	9
61	9	9
52	10	9
45	11	9
53	12	9
49	13	9
73	14	9
49	15	9
64	16	9
95	17	9
69	18	9
65	19	9
31	20	9
45	21	9
75	22	9
7	23	9
45	24	9
52	25	9
51	26	9
13	27	9
44	28	9
91	29	9
31	30	9
63	31	9
51	32	9
48	33	9
9	34	9
91	35	9
71	36	9
77	37	9
53	38	9
64	39	9
64	40	9
29	41	9
43	42	9
54	43	9
33	44	9
33	45	9
47	46	9
57	47	9
13	48	9
73	49	9
71	50	9
52	51	9
59	52	9
58	53	9
38	54	9
36	55	9
53	56	9
43	57	9
9	58	9
47	59	9
50	60	9
43	61	9
47	62	9
3	63	9
30	64	9
61	65	9
95	66	9
45	67	9
45	68	9
81	69	9
76	70	9
53	71	9
48	72	9
35	73	9
59	74	9
45	75	9
35	76	9
59	77	9
93	78	9
11	79	9
29	80	9
39	81	9
29	82	9
19	83	9
49	84	9
67	85	9
57	86	9
51	87	9
46	88	9
31	89	9
41	90	9
61	91	9
67	92	9
51	93	9
89	94	9
39	95	9
51	96	9
49	97	9
52	98	9
53	99	9
38	100	9
21	0	10
1	1	10
24	2	10
31	3	10
89	4	10
17	5	10
67	6	10
63	7	10
77	8	10
74	9	10
64	10	10
42	11	10
17	12	10
28	13	10
17	14	10
13	15	10
45	16	10
66	17	10
83	18	10
63	19	10
50	20	10
53	21	10
53	22	10
34	23	10
7	24	10
23	25	10
85	26	10
45	27	10
51	28	10
55	29	10
19	30	10
43	31	10
47	32	10
39	33	10
29	34	10
27	35	10
46	36	10
49	37	10
29	38	10
62	39	10
99	40	10
52	41	10
45	42	10
42	43	10
40	44	10
53	45	10
43	46	10
69	47	10
33	48	10
51	49	10
29	50	10
54	51	10
65	52	10
85	53	10
15	54	10
15	55	10
91	56	10
66	57	10
57	58	10
65	59	10
62	60	10
42	61	10
41	62	10
29	63	10
37	64	10
55	65	10
73	66	10
77	67	10
25	68	10
65	69	10
95	70	10
41	71	10
67	72	10
81	73	10
63	74	10
19	75	10
42	76	10
47	77	10
25	78	10
53	79	10
79	80	10
38	81	10
11	82	10
69	83	10
45	84	10
65	85	10
44	86	10
53	87	10
60	88	10
42	89	10
35	90	10
52	91	10
66	92	10
68	93	10
74	94	10
77	95	10
59	96	10
91	97	10
51	98	10
31	99	10
32	100	10
45	0	11
65	1	11
43	2	11
43	3	11
44	4	11
35	5	11
55	6	11
49	7	11
21	8	11
95	9	11
87	10	11
43	11	11
40	12	11
30	13	11
25	14	11
15	15	11
36	16	11
44	17	11
57	18	11
58	19	11
55	20	11
63	21	11
53	22	11
69	23	11
55	24	11
75	25	11
74	26	11
61	27	11
60	28	11
62	29	11
45	30	11
43	31	11
37	32	11
50	33	11
41	34	11
13	35	11
37	36	11
46	37	11
48	38	11
57	39	11
52	40	11
35	41	11
44	42	11
29	43	11
31	44	11
36	45	11
47	46	11
55	47	11
77	48	11
72	49	11
67	50	11
71	51	11
62	52	11
23	53	11
95	54	11
71	55	11
81	56	11
74	57	11
89	58	11
5	59	11
91	60	11
21	61	11
49	62	11
35	63	11
35	64	11
51	65	11
5	66	11
58	67	11
97	68	11
60	69	11
60	70	11
41	71	11
99	72	11
69	73	11
42	74	11
1	75	11
69	76	11
50	77	11
42	78	11
44	79	11
27	80	11
23	81	11
20	82	11
36	83	11
19	84	11
89	85	11
1	86	11
58	87	11
99	88	11
45	89	11
1	90	11
46	91	11
79	92	11
83	93	11
65	94	11
66	95	11
61	96	11
5	97	11
31	98	11
17	99	11
28	100	11
48	0	12
45	1	12
37	2	12
5	3	12
11	4	12
25	5	12
71	6	12
58	7	12
47	8	12
93	9	12
84	10	12
87	11	12
73	12	12
27	13	12
40	14	12
69	15	12
40	16	12
17	17	12
56	18	12
58	19	12
49	20	12
91	21	12
79	22	12
72	23	12
71	24	12
70	25	12
76	26	12
66	27	12
65	28	12
87	29	12
57	30	12
49	31	12
52	32	12
83	33	12
75	34	12
41	35	12
45	36	12
51	37	12
60	38	12
93	39	12
17	40	12
67	41	12
67	42	12
5	43	12
20	44	12
13	45	12
28	46	12
30	47	12
5	48	12
95	49	12
61	50	12
43	51	12
89	52	12
68	53	12
67	54	12
95	55	12
89	56	12
61	57	12
54	58	12
32	59	12
63	60	12
64	61	12
99	62	12
62	63	12
53	64	12
35	65	12
57	66	12
54	67	12
51	68	12
19	69	12
45	70	12
48	71	12
64	72	12
53	73	12
38	74	12
28	75	12
23	76	12
41	77	12
50	78	12
57	79	12
45	80	12
9	81	12
11	82	12
39	83	12
63	84	12
53	85	12
34	86	12
81	87	12
15	88	12
37	89	12
69	90	12
52	91	12
17	92	12
77	93	12
60	94	12
63	95	12
67	96	12
32	97	12
51	98	12
36	99	12
36	100	12
55	0	13
33	1	13
55	2	13
85	3	13
71	4	13
11	5	13
41	6	13
67	7	13
19	8	13
58	9	13
71	10	13
15	11	13
36	12	13
34	13	13
40	14	13
53	15	13
39	16	13
52	17	13
95	18	13
69	19	13
61	20	13
75	21	13
67	22	13
71	23	13
49	24	13
61	25	13
95	26	13
60	27	13
49	28	13
65	29	13
46	30	13
43	31	13
41	32	13
25	33	13
1	34	13
33	35	13
9	36	13
25	37	13
48	38	13
59	39	13
43	40	13
7	41	13
61	42	13
31	43	13
31	44	13
19	45	13
23	46	13
33	47	13
31	48	13
60	49	13
41	50	13
7	51	13
13	52	13
95	53	13
5	54	13
79	55	13
59	56	13
29	57	13
34	58	13
9	59	13
47	60	13
75	61	13
73	62	13
62	63	13
55	64	13
49	65	13
47	66	13
50	67	13
75	68	13
45	69	13
51	70	13
44	71	13
57	72	13
43	73	13
29	74	13
53	75	13
13	76	13
43	77	13
61	78	13
95	79	13
89	80	13
59	81	13
63	82	13
15	83	13
36	84	13
28	85	13
1	86	13
27	87	13
19	88	13
21	89	13
27	90	13
79	91	13
89	92	13
53	93	13
35	94	13
51	95	13
48	96	13
7	97	13
36	98	13
43	99	13
43	100	13
61	0	14
7	1	14
65	2	14
71	3	14
50	4	14
3	5	14
15	6	14
69	7	14
65	8	14
51	9	14
57	10	14
15	11	14
24	12	14
33	13	14
35	14	14
49	15	14
11	16	14
59	17	14
66	18	14
63	19	14
59	20	14
65	21	14
45	22	14
53	23	14
33	24	14
54	25	14
27	26	14
33	27	14
7	28	14
29	29	14
21	30	14
38	31	14
43	32	14
44	33	14
49	34	14
81	35	14
54	36	14
55	37	14
47	38	14
54	39	14
91	40	14
31	41	14
61	42	14
67	43	14
55	44	14
11	45	14
13	46	14
49	47	14
62	48	14
73	49	14
39	50	14
32	51	14
42	52	14
97	53	14
97	54	14
95	55	14
52	56	14
44	57	14
46	58	14
25	59	14
44	60	14
52	61	14
58	62	14
58	63	14
58	64	14
59	65	14
33	66	14
24	67	14
5	68	14
36	69	14
73	70	14
19	71	14
77	72	14
69	73	14
42	74	14
23	75	14
3	76	14
77	77	14
57	78	14
21	79	14
63	80	14
77	81	14
52	82	14
33	83	14
39	84	14
21	85	14
9	86	14
85	87	14
13	88	14
29	89	14
39	90	14
57	91	14
53	92	14
13	93	14
42	94	14
56	95	14
69	96	14
75	97	14
46	98	14
56	99	14
51	100	14
77	0	15
44	1	15
43	2	15
99	3	15
56	4	15
19	5	15
95	6	15
27	7	15
54	8	15
68	9	15
91	10	15
32	11	15
13	12	15
39	13	15
17	14	15
99	15	15
87	16	15
58	17	15
47	18	15
42	19	15
49	20	15
47	21	15
43	22	15
49	23	15
55	24	15
97	25	15
65	26	15
63	27	15
5	28	15
24	29	15
53	30	15
44	31	15
51	32	15
58	33	15
69	34	15
76	35	15
72	36	15
95	37	15
33	38	15
19	39	15
48	40	15
42	41	15
53	42	15
59	43	15
56	44	15
38	45	15
32	46	15
37	47	15
95	48	15
65	49	15
54	50	15
41	51	15
27	52	15
63	53	15
62	54	15
29	55	15
13	56	15
51	57	15
79	58	15
3	59	15
53	60	15
31	61	15
49	62	15
53	63	15
61	64	15
63	65	15
43	66	15
11	67	15
20	68	15
23	69	15
51	70	15
47	71	15
54	72	15
27	73	15
48	74	15
67	75	15
87	76	15
78	77	15
71	78	15
85	79	15
67	80	15
59	81	15
38	82	15
39	83	15
43	84	15
11	85	15
20	86	15
59	87	15
55	88	15
42	89	15
45	90	15
57	91	15
15	92	15
38	93	15
65	94	15
65	95	15
59	96	15
49	97	15
17	98	15
83	99	15
56	100	15
58	0	16
51	1	16
47	2	16
71	3	16
58	4	16
27	5	16
47	6	16
44	7	16
55	8	16
79	9	16
54	10	16
9	11	16
41	12	16
93	13	16
45	14	16
25	15	16
63	16	16
42	17	16
32	18	16
9	19	16
63	20	16
57	21	16
55	22	16
45	23	16
43	24	16
7	25	16
77	26	16
63	27	16
61	28	16
9	29	16
7	30	16
35	31	16
57	32	16
70	33	16
95	34	16
83	35	16
63	36	16
61	37	16
39	38	16
34	39	16
39	40	16
38	41	16
52	42	16
60	43	16
71	44	16
55	45	16
42	46	16
21	47	16
61	48	16
68	49	16
74	50	16
77	51	16
83	52	16
66	53	16
59	54	16
46	55	16
95	56	16
70	57	16
66	58	16
51	59	16
69	60	16
83	61	16
56	62	16
45	63	16
71	64	16
55	65	16
23	66	16
19	67	16
41	68	16
85	69	16
61	70	16
67	71	16
64	72	16
62	73	16
58	74	16
63	75	16
95	76	16
79	77	16
64	78	16
59	79	16
62	80	16
55	81	16
1	82	16
21	83	16
38	84	16
27	85	16
3	86	16
77	87	16
51	88	16
40	89	16
43	90	16
52	91	16
67	92	16
59	93	16
69	94	16
81	95	16
61	96	16
47	97	16
5	98	16
15	99	16
33	100	16
47	0	17
52	1	17
23	2	17
77	3	17
79	4	17
89	5	17
58	6	17
48	7	17
45	8	17
57	9	17
37	10	17
32	11	17
51	12	17
55	13	17
46	14	17
44	15	17
81	16	17
17	17	17
29	18	17
33	19	17
49	20	17
45	21	17
3	22	17
35	23	17
97	24	17
62	25	17
99	26	17
56	27	17
56	28	17
63	29	17
1	30	17
32	31	17
73	32	17
71	33	17
25	34	17
25	35	17
47	36	17
50	37	17
41	38	17
39	39	17
36	40	17
21	41	17
55	42	17
59	43	17
25	44	17
71	45	17
58	46	17
57	47	17
62	48	17
71	49	17
99	50	17
79	51	17
71	52	17
61	53	17
63	54	17
1	55	17
77	56	17
68	57	17
64	58	17
67	59	17
89	60	17
69	61	17
47	62	17
1	63	17
55	64	17
89	65	17
41	66	17
26	67	17
43	68	17
65	69	17
69	70	17
57	71	17
75	72	17
99	73	17
60	74	17
31	75	17
33	76	17
50	77	17
47	78	17
25	79	17
67	80	17
87	81	17
35	82	17
63	83	17
63	84	17
57	85	17
63	86	17
9	87	17
33	88	17
23	89	17
35	90	17
43	91	17
54	92	17
63	93	17
73	94	17
64	95	17
73	96	17
11	97	17
3	98	17
35	99	17
29	100	17
29	0	18
87	1	18
81	2	18
58	3	18
9	4	18
41	5	18
50	6	18
45	7	18
19	8	18
31	9	18
38	10	18
33	11	18
77	12	18
57	13	18
41	14	18
23	15	18
3	16	18
16	17	18
37	18	18
44	19	18
56	20	18
33	21	18
29	22	18
33	23	18
11	24	18
47	25	18
51	26	18
9	27	18
44	28	18
55	29	18
35	30	18
21	31	18
53	32	18
65	33	18
95	34	18
57	35	18
51	36	18
52	37	18
53	38	18
45	39	18
45	40	18
51	41	18
89	42	18
62	43	18
55	44	18
15	45	18
65	46	18
89	47	18
59	48	18
71	49	18
79	50	18
70	51	18
60	52	18
44	53	18
9	54	18
23	55	18
46	56	18
60	57	18
56	58	18
63	59	18
68	60	18
59	61	18
45	62	18
33	63	18
73	64	18
47	65	18
27	66	18
3	67	18
40	68	18
61	69	18
95	70	18
69	71	18
31	72	18
15	73	18
53	74	18
47	75	18
43	76	18
42	77	18
51	78	18
42	79	18
46	80	18
23	81	18
49	82	18
55	83	18
31	84	18
69	85	18
47	86	18
35	87	18
50	88	18
99	89	18
33	90	18
31	91	18
45	92	18
67	93	18
93	94	18
29	95	18
36	96	18
21	97	18
12	98	18
7	99	18
18	100	18
23	0	19
49	1	19
58	2	19
67	3	19
75	4	19
56	5	19
57	6	19
63	7	19
52	8	19
57	9	19
51	10	19
58	11	19
62	12	19
54	13	19
40	14	19
5	15	19
10	16	19
7	17	19
1	18	19
50	19	19
99	20	19
58	21	19
47	22	19
57	23	19
93	24	19
63	25	19
51	26	19
41	27	19
55	28	19
81	29	19
62	30	19
56	31	19
55	32	19
43	33	19
73	34	19
57	35	19
49	36	19
54	37	19
51	38	19
45	39	19
49	40	19
48	41	19
41	42	19
47	43	19
48	44	19
42	45	19
54	46	19
53	47	19
67	48	19
87	49	19
76	50	19
63	51	19
55	52	19
47	53	19
36	54	19
39	55	19
23	56	19
71	57	19
39	58	19
61	59	19
63	60	19
89	61	19
43	62	19
13	63	19
35	64	19
39	65	19
19	66	19
79	67	19
54	68	19
47	69	19
13	70	19
93	71	19
21	72	19
35	73	19
91	74	19
39	75	19
15	76	19
27	77	19
45	78	19
46	79	19
55	80	19
39	81	19
43	82	19
52	83	19
56	84	19
53	85	19
36	86	19
33	87	19
35	88	19
60	89	19
48	90	19
55	91	19
77	92	19
69	93	19
81	94	19
23	95	19
22	96	19
27	97	19
18	98	19
17	99	19
21	100	19
31	0	20
29	1	20
35	2	20
77	3	20
65	4	20
54	5	20
54	6	20
99	7	20
68	8	20
97	9	20
51	10	20
87	11	20
59	12	20
58	13	20
60	14	20
95	15	20
28	16	20
1	17	20
51	18	20
57	19	20
66	20	20
55	21	20
43	22	20
57	23	20
81	24	20
60	25	20
51	26	20
51	27	20
56	28	20
65	29	20
78	30	20
87	31	20
69	32	20
31	33	20
11	34	20
50	35	20
33	36	20
65	37	20
54	38	20
37	39	20
59	40	20
52	41	20
57	42	20
37	43	20
49	44	20
52	45	20
58	46	20
81	47	20
69	48	20
73	49	20
77	50	20
51	51	20
54	52	20
54	53	20
50	54	20
75	55	20
55	56	20
61	57	20
69	58	20
81	59	20
68	60	20
56	61	20
25	62	20
28	63	20
39	64	20
55	65	20
45	66	20
55	67	20
51	68	20
52	69	20
61	70	20
60	71	20
41	72	20
13	73	20
36	74	20
5	75	20
27	76	20
5	77	20
57	78	20
43	79	20
40	80	20
35	81	20
43	82	20
53	83	20
91	84	20
50	85	20
11	86	20
29	87	20
87	88	20
59	89	20
44	90	20
64	91	20
69	92	20
64	93	20
29	94	20
67	95	20
5	96	20
19	97	20
17	98	20
23	99	20
27	100	20
53	0	21
43	1	21
41	2	21
62	3	21
54	4	21
40	5	21
9	6	21
42	7	21
25	8	21
60	9	21
62	10	21
53	11	21
65	12	21
59	13	21
49	14	21
50	15	21
7	16	21
31	17	21
58	18	21
60	19	21
53	20	21
89	21	21
62	22	21
47	23	21
53	24	21
46	25	21
40	26	21
63	27	21
52	28	21
47	29	21
99	30	21
79	31	21
7	32	21
26	33	21
41	34	21
99	35	21
49	36	21
54	37	21
63	38	21
61	39	21
97	40	21
46	41	21
3	42	21
49	43	21
59	44	21
59	45	21
45	46	21
75	47	21
56	48	21
61	49	21
59	50	21
69	51	21
55	52	21
65	53	21
37	54	21
71	55	21
63	56	21
49	57	21
97	58	21
79	59	21
72	60	21
43	61	21
32	62	21
36	63	21
39	64	21
97	65	21
52	66	21
47	67	21
43	68	21
49	69	21
33	70	21
48	71	21
42	72	21
35	73	21
35	74	21
50	75	21
85	76	21
91	77	21
87	78	21
29	79	21
28	80	21
30	81	21
40	82	21
27	83	21
87	84	21
46	85	21
34	86	21
35	87	21
29	88	21
45	89	21
7	90	21
89	91	21
53	92	21
89	93	21
55	94	21
60	95	21
69	96	21
25	97	21
9	98	21
33	99	21
37	100	21
87	0	22
49	1	22
23	2	22
79	3	22
48	4	22
43	5	22
40	6	22
36	7	22
35	8	22
56	9	22
85	10	22
1	11	22
61	12	22
67	13	22
69	14	22
51	15	22
41	16	22
57	17	22
91	18	22
74	19	22
66	20	22
65	21	22
69	22	22
50	23	22
40	24	22
30	25	22
3	26	22
83	27	22
43	28	22
40	29	22
35	30	22
59	31	22
81	32	22
25	33	22
39	34	22
43	35	22
11	36	22
39	37	22
49	38	22
48	39	22
33	40	22
32	41	22
11	42	22
36	43	22
51	44	22
62	45	22
60	46	22
85	47	22
19	48	22
57	49	22
51	50	22
19	51	22
35	52	22
1	53	22
71	54	22
67	55	22
77	56	22
41	57	22
37	58	22
66	59	22
99	60	22
13	61	22
23	62	22
45	63	22
97	64	22
68	65	22
19	66	22
37	67	22
25	68	22
11	69	22
39	70	22
57	71	22
45	72	22
50	73	22
75	74	22
77	75	22
84	76	22
91	77	22
97	78	22
35	79	22
15	80	22
17	81	22
63	82	22
53	83	22
59	84	22
15	85	22
46	86	22
49	87	22
53	88	22
85	89	22
81	90	22
56	91	22
17	92	22
42	93	22
43	94	22
49	95	22
9	96	22
47	97	22
99	98	22
62	99	22
53	100	22
59	0	23
43	1	23
33	2	23
38	3	23
17	4	23
44	5	23
